Order Date,Brand,Sneaker Name,Sale Price,Retail Price,Release Date,Shoe Size,Buyer Region,local_image_path
12/15/2019,Adidas,Adidas-UltraBoost-22-Black,505,180,07/28/2019,7.0,Illinois,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
11/02/2021,Adidas,Adidas-UltraBoost-22-Black,459,200,11/02/2016,9.5,Florida,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
09/24/2020,Adidas,Adidas-UltraBoost-22-Black,448,120,12/01/2021,7.0,New York,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
12/14/2018,Adidas,Adidas-UltraBoost-22-Black,232,150,03/08/2022,12.0,Ohio,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
03/17/2018,Adidas,Adidas-UltraBoost-22-Black,356,220,06/01/2019,8.0,Florida,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
08/01/2018,Adidas,Adidas-UltraBoost-22-Black,277,220,08/20/2018,11.0,Illinois,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
06/20/2022,Adidas,Adidas-UltraBoost-22-Black,535,150,03/16/2019,11.5,Florida,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
06/01/2022,Adidas,Adidas-UltraBoost-22-Black,256,120,09/07/2017,7.0,Ohio,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
04/15/2019,Adidas,Adidas-UltraBoost-22-Black,420,150,01/18/2022,7.0,Illinois,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
07/18/2018,Adidas,Adidas-UltraBoost-22-Black,375,180,10/17/2018,7.0,Texas,datasets/sneaker_images/Adidas-UltraBoost-22-Black.jpg
09/21/2018,Adidas,Adidas-NMD-R1-White,183,150,01/11/2018,10.0,Nevada,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
07/08/2020,Adidas,Adidas-NMD-R1-White,413,120,11/18/2020,11.5,Florida,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
04/28/2022,Adidas,Adidas-NMD-R1-White,451,150,09/19/2018,10.0,New York,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
11/23/2020,Adidas,Adidas-NMD-R1-White,278,150,04/21/2019,12.0,Texas,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
01/16/2018,Adidas,Adidas-NMD-R1-White,515,180,08/21/2016,11.0,Nevada,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
06/28/2019,Adidas,Adidas-NMD-R1-White,170,120,04/07/2020,10.0,Illinois,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
08/28/2022,Adidas,Adidas-NMD-R1-White,418,220,07/12/2021,11.0,California,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
02/09/2021,Adidas,Adidas-NMD-R1-White,269,180,12/27/2019,8.5,Nevada,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
01/26/2021,Adidas,Adidas-NMD-R1-White,563,180,09/01/2021,10.5,Nevada,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
11/20/2018,Adidas,Adidas-NMD-R1-White,428,220,02/09/2016,12.0,Ohio,datasets/sneaker_images/Adidas-NMD-R1-White.jpg
04/14/2019,Adidas,Adidas-Superstar-Classic,360,150,08/16/2019,10.5,Illinois,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
12/01/2020,Adidas,Adidas-Superstar-Classic,129,100,10/08/2019,9.0,Texas,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
06/15/2020,Adidas,Adidas-Superstar-Classic,265,220,10/17/2021,7.0,Florida,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
06/01/2019,Adidas,Adidas-Superstar-Classic,437,100,11/06/2018,8.5,California,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
06/23/2022,Adidas,Adidas-Superstar-Classic,243,120,09/25/2017,9.0,Illinois,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
02/07/2021,Adidas,Adidas-Superstar-Classic,539,180,12/31/2019,11.0,New York,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
09/24/2018,Adidas,Adidas-Superstar-Classic,297,180,09/03/2018,8.5,Ohio,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
10/09/2021,Adidas,Adidas-Superstar-Classic,452,100,09/21/2018,8.0,California,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
04/18/2022,Adidas,Adidas-Superstar-Classic,327,180,07/27/2019,10.0,Illinois,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
07/12/2022,Adidas,Adidas-Superstar-Classic,360,120,02/21/2021,9.5,Texas,datasets/sneaker_images/Adidas-Superstar-Classic.jpg
09/21/2021,Adidas,Adidas-Forum-Low-Blue,333,100,05/01/2016,7.0,Illinois,datasets/sneaker_images/Adidas-Forum-Low-Blue.jpg
01/31/2019,Adidas,Adidas-Forum-Low-Blue,484,220,09/01/2017,9.0,Ohio,datasets/sneaker_images/Adidas-Forum-Low-Blue.jpg
02/21/2022,Adidas,Adidas-Forum-Low-Blue,295,150,05/07/2016,9.0,Nevada,datasets/sneaker_images/Adidas-Forum-Low-Blue.jpg
06/06/2022,Adidas,Adidas-Forum-Low-Blue,472,220,04/29/2020,9.5,Nevada,datasets/sneaker_images/Adidas-Forum-Low-Blue.jpg
01/26/2020,Adidas,Adidas-Forum-Low-Blue,410,200,09/24/2016,12.0,California,datasets/sneaker_images/Adidas-Forum-Low-Blue.jpg
01/02/2022,Adidas,Adidas-Forum-Low-Blue,277,100,06/14/2021,10.5,California,datasets/sneaker_images/Adidas-Forum-Low-Blue.jpg
05/23/2020,Adidas,Adidas-Forum-Low-Blue,191,150,11/28/2021,8.5,New York,datasets/sneaker_images/Adidas-Forum-Low-Blue.jpg
10/04/2019,Adidas,Adidas-Forum-Low-Blue,545,180,04/07/2018,11.5,California,datasets/sneaker_images/Adidas-Forum-Low-Blue.jpg
04/27/2022,Adidas,Adidas-Forum-Low-Blue,220,120,11/10/2020,12.0,California,datasets/sneaker_images/Adidas-Forum-Low-Blue.jpg
